provinsi,tahun,upah,ump,daerah_x,jenis_x,peng,jenis_y,daerah_y,periode,gk,Cluster
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERKOTAAN,MARET,261677.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERKOTAAN,SEPTEMBER,273271.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERDESAAN,MARET,266143.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERDESAAN,SEPTEMBER,284650.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERDESAANPERKOTAAN,MARET,263932.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERKOTAAN,MAKANAN,416073.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,279015.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERKOTAAN,MARET,261677.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERKOTAAN,SEPTEMBER,273271.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERDESAAN,MARET,266143.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERDESAAN,SEPTEMBER,284650.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERDESAANPERKOTAAN,MARET,263932.0,0
SUMATERA UTARA,2015,10618,1625000.0,PERDESAANPERKOTAAN,MAKANAN,414566.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,279015.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERKOTAAN,MARET,290096.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERKOTAAN,SEPTEMBER,302027.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERDESAAN,MARET,304942.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERDESAAN,SEPTEMBER,313234.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296832.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAAN,MAKANAN,450979.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,308037.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERKOTAAN,MARET,290096.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERKOTAAN,SEPTEMBER,302027.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERDESAAN,MARET,304942.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERDESAAN,SEPTEMBER,313234.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296832.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERKOTAAN,MAKANAN,493141.0,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,308037.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERKOTAAN,MARET,290096.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERKOTAAN,SEPTEMBER,302027.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERDESAAN,MARET,304942.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERDESAAN,SEPTEMBER,313234.0,0
SUMATERA UTARA,2016,11646,1811875.0,PERDESAANPERKOTAAN,MAKANAN,472220.0,MAKANAN,PERDESAANPERKOTAAN,MARET,296832.0,0
